inn,registry_category,registry_okved,error_type,error_message
5009106346,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
2014256831,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5032261607,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703026866,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9704117273,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7720866131,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7447130972,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5032217728,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
6316183778,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7716964217,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9705166442,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9722028851,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9721115773,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
4101094997,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9721158304,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9704027622,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
4345076015,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7716966197,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7801714264,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9723150893,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9701222960,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9702008825,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703077483,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
6452087375,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7714453175,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
1841102179,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7714878139,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9724067599,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9724078939,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9725089041,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9704017631,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
7708407893,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
7710457250,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703079699,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7751238761,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
5024223245,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
2543154670,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7743378130,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
