ИНН,Компания,Регион,Категория МСП,Год,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %","Рентабельность EBIT, %","Рост чистой прибыли 2021–2025, %",Ранг по чистой прибыли в году,Прибыльная компания,Статус сбора
5038038838,"ООО ""КОРПОРАЦИЯ ВИТ""",МОСКОВСКАЯ,Малое предприятие,2023,108.966,-20.913,-27.628,-19.19222509773691,-25.35469779564268,-116.88311688311688,9220,False,success_bfo
5038038838,"ООО ""КОРПОРАЦИЯ ВИТ""",МОСКОВСКАЯ,Малое предприятие,2021,184.044,3.08,1.06,1.673512855621482,0.5759492295320684,-116.88311688311688,4254,True,success_bfo
5038038838,"ООО ""КОРПОРАЦИЯ ВИТ""",МОСКОВСКАЯ,Малое предприятие,2024,112.54,-20.129,-28.628,-17.886084947574197,-25.4380664652568,-116.88311688311688,8616,False,success_bfo
5038038838,"ООО ""КОРПОРАЦИЯ ВИТ""",МОСКОВСКАЯ,Малое предприятие,2022,118.633,19.518,10.819,16.45242049008286,9.119722168367993,-116.88311688311688,1536,True,success_bfo
5038038838,"ООО ""КОРПОРАЦИЯ ВИТ""",МОСКОВСКАЯ,Малое предприятие,2025,140.064,-0.52,0.241,-0.37125885309572765,0.17206419922321223,-116.88311688311688,6760,False,success_bfo
5027064258,"""ЛАВИНА"" ООО",МОСКОВСКАЯ,Малое предприятие,2025,540.331,1.045,6.675,0.19339997149895158,1.2353538849334944,-73.77008032128514,4584,True,success_bfo
5027064258,"""ЛАВИНА"" ООО",МОСКОВСКАЯ,Малое предприятие,2021,249.375,3.984,4.68,1.5975939849624061,1.876691729323308,-73.77008032128514,3816,True,success_bfo
5027064258,"""ЛАВИНА"" ООО",МОСКОВСКАЯ,Малое предприятие,2023,594.302,0.454,6.543,0.076392137330852,1.1009554065104947,-73.77008032128514,6370,True,success_bfo
5027064258,"""ЛАВИНА"" ООО",МОСКОВСКАЯ,Малое предприятие,2024,930.28,3.594,5.948,0.3863352968998581,0.6393773917530206,-73.77008032128514,3990,True,success_bfo
5027064258,"""ЛАВИНА"" ООО",МОСКОВСКАЯ,Малое предприятие,2022,253.804,2.339,3.036,0.9215772801059084,1.1961986414713714,-73.77008032128514,4817,True,success_bfo
5027006369,"""ХСТФ ФОБОС"" ООО",МОСКОВСКАЯ,Среднее предприятие,2022,683.396,31.442,32.11,4.600846361406856,4.698593494840473,3359.8203769140164,1024,True,success_bfo
5027006369,"""ХСТФ ФОБОС"" ООО",МОСКОВСКАЯ,Среднее предприятие,2025,1287.757,704.973,709.323,54.74425687455009,55.082053524073245,3359.8203769140164,20,True,success_bfo
5027006369,"""ХСТФ ФОБОС"" ООО",МОСКОВСКАЯ,Среднее предприятие,2024,429.496,28.998,3.132,6.751634473894984,0.7292268146851193,3359.8203769140164,1390,True,success_bfo
5027006369,"""ХСТФ ФОБОС"" ООО",МОСКОВСКАЯ,Среднее предприятие,2021,584.219,20.376,23.292,3.4877331959419324,3.9868610914742586,3359.8203769140164,1287,True,success_bfo
5027006369,"""ХСТФ ФОБОС"" ООО",МОСКОВСКАЯ,Среднее предприятие,2023,1565.001,582.441,709.167,37.21665353568464,45.314156348781886,3359.8203769140164,31,True,success_bfo
7701651356,"АО ""2МЕН ГРУПП""",ТЮМЕНСКАЯ,Малое предприятие,2025,433.275,1.154,24.862,0.2663435462466101,5.738157059604178,124.52188695282618,4516,True,success_bfo
7701651356,"АО ""2МЕН ГРУПП""",ТЮМЕНСКАЯ,Малое предприятие,2024,255.23,0.113,210.645,0.04427379226579947,82.53144222857814,124.52188695282618,6600,True,success_bfo
7701651356,"АО ""2МЕН ГРУПП""",ТЮМЕНСКАЯ,Малое предприятие,2021,64.999,-4.706,20.108,-7.240111386329021,30.935860551700795,124.52188695282618,9105,False,success_bfo
7701651356,"АО ""2МЕН ГРУПП""",ТЮМЕНСКАЯ,Малое предприятие,2022,85.623,1.562,3.262,1.824276187472992,3.809724022750896,124.52188695282618,5391,True,success_bfo
7701651356,"АО ""2МЕН ГРУПП""",ТЮМЕНСКАЯ,Малое предприятие,2023,74.252,-2.777,-0.568,-3.739966600226256,-0.7649625599310457,124.52188695282618,8550,False,success_bfo
1414006922,"АО ""777""",МОСКВА,Малое предприятие,2021,685.315,2.092,7.94,0.3052610843188898,1.1585913047284826,2793.9770554493307,4932,True,success_bfo
1414006922,"АО ""777""",МОСКВА,Малое предприятие,2025,1927.383,60.542,14.574,3.141150461532555,0.7561548483098585,2793.9770554493307,606,True,success_bfo
1414006922,"АО ""777""",МОСКВА,Малое предприятие,2024,1107.569,54.85,71.786,4.952287396992873,6.481402061632277,2793.9770554493307,819,True,success_bfo
1414006922,"АО ""777""",МОСКВА,Малое предприятие,2023,1002.486,19.889,28.512,1.9839678559102074,2.844129494077723,2793.9770554493307,1649,True,success_bfo
1414006922,"АО ""777""",МОСКВА,Малое предприятие,2022,938.983,3.375,7.406,0.359431427406034,0.7887256744797297,2793.9770554493307,4213,True,success_bfo
3327332190,"АО ""АГРОТЕХИМПОРТ""",ВЛАДИМИРСКАЯ,Малое предприятие,2024,1297.47,47.723,19.439,3.6781582618480577,1.4982234656677997,220.10697787503037,942,True,success_bfo
3327332190,"АО ""АГРОТЕХИМПОРТ""",ВЛАДИМИРСКАЯ,Малое предприятие,2023,1031.417,40.101,42.244,3.8879522055579847,4.095724619625234,220.10697787503037,959,True,success_bfo
3327332190,"АО ""АГРОТЕХИМПОРТ""",ВЛАДИМИРСКАЯ,Малое предприятие,2022,458.713,30.374,31.662,6.621569478083246,6.902355067329681,220.10697787503037,1060,True,success_bfo
3327332190,"АО ""АГРОТЕХИМПОРТ""",ВЛАДИМИРСКАЯ,Малое предприятие,2021,584.483,20.565,26.125,3.51849412215582,4.469762165879931,220.10697787503037,1272,True,success_bfo
