Регион,Компаний,Компаний с рассчитанным ростом,"Медианный рост чистой прибыли, %","Медианная чистая прибыль 2025, тыс. руб.","Доля прибыльных компаний 2025, %",Регион включён в рейтинг
КАБАРДИНО-БАЛКАРСКАЯ,19,15,278.89908256880733,2426.0,63.1578947368421,True
АЛТАЙ,11,10,186.2638648523307,2705.5,72.72727272727273,True
ОРЕНБУРГСКАЯ,67,56,129.2044211215878,3024.0,71.64179104477611,True
КУРГАНСКАЯ,19,17,113.79310344827589,1738.0,73.68421052631578,True
НОВГОРОДСКАЯ,22,21,108.7119573056397,1853.5,77.27272727272727,True
САХА (ЯКУТИЯ),70,52,106.28370167872136,5440.0,68.57142857142857,True
ЧУВАШСКАЯ РЕСПУБЛИКА -,86,76,104.16518988777756,2117.5,73.25581395348837,True
ПЕРМСКИЙ,150,129,80.92334494773519,2866.0,72.0,True
ЯМАЛО-НЕНЕЦКИЙ,47,42,74.34719384342158,6285.0,76.59574468085107,True
ПСКОВСКАЯ,36,35,62.56124721603563,1502.0,72.22222222222221,True
КУРСКАЯ,48,37,58.8420638046475,2466.0,68.75,True
ВЛАДИМИРСКАЯ,51,43,56.666666666666664,650.0,56.86274509803921,True
АДЫГЕЯ,21,20,50.836012981501504,7888.0,66.66666666666666,True
ТВЕРСКАЯ,66,59,43.87263459255639,1057.0,60.60606060606061,True
КАЛУЖСКАЯ,79,65,41.91524278405251,1710.0,56.9620253164557,True
