Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
1,5257145631,"ООО ""СЗ ""АНДОР""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603093, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, ЯБЛОНЕВАЯ, 28, П, 102/4",12406.715,2989.87,3721.799,24.09880455866037,56.3129075,44.0573767,"56.312908,44.057377",address
2,7813475980,"ООО ""РСТИ НА ГЛУХАРСКОЙ (СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК)""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"197198, САНКТ-ПЕТЕРБУРГ, ДОБРОЛЮБОВА, 17, С, 12-Н",6524.184,2756.518,3537.587,42.25077036453907,59.9498504,30.2998434,"59.94985,30.299843",address
3,9715426146,"АО ""МР-ЦЕНТР""",МОСКВА,Малое предприятие,"127015, МОСКВА, НОВОДМИТРОВСКАЯ, 2, 2, 12",3870.268,2429.778,3089.335,62.7806136422594,55.7984126,37.58712,"55.798413,37.58712",address
4,2308034775,"ООО СИК ""ДЕВЕЛОПМЕНТ-ЮГ""",КРАСНОДАРСКИЙ,Малое предприятие,"350072, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. 40-ЛЕТИЯ ПОБЕДЫ, 33Г, 1151190",652.367,2334.634,2133.482,357.87125958241296,45.0553775,39.0066001,"45.055378,39.0066",address
5,7806056530,"ЗАО ""СК ""ТЕМП""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"193318, САНКТ-ПЕТЕРБУРГ, БАДАЕВА, 8, 3, 1-Н",5744.991,2145.252,2859.153,37.34125954244315,59.9171293,30.4467655,"59.917129,30.446766",address
6,7725127342,"ООО ""МЕДЖИКОМ""",МОСКВА,Малое предприятие,"119119, МОСКВА, ЛЕНИНСКИЙ, 42, 2",4982.618,1953.53,2556.095,39.20689886320805,55.7036816,37.5664139,"55.703682,37.566414",address
7,7704879013,"ООО УК ""СТАР-ЮГ""",МОСКВА,Малое предприятие,"119048, МОСКВА, 3-Я ФРУНЗЕНСКАЯ, 19",,1730.603,2307.471,,55.7231292,37.573759,"55.723129,37.573759",address
8,4703142302,"ООО ""АРСЕНАЛ ГРУПП""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"197376, САНКТ-ПЕТЕРБУРГ, ПЛЕСЕЦКАЯ, 2, 1, 48Н",3260.59,1692.267,2243.83,51.90063761466484,60.0301543,30.2049501,"60.030154,30.20495",address
9,9710078784,"ООО ""ДИСТРИКТ ДЕВЕЛОПМЕНТ - СПЕЦЗАСТРОЙЩИК""",МОСКВА,Среднее предприятие,"125009, МОСКВА, ТВЕРСКАЯ, 6, 2, 2 ПОМ I КОМ 23",,1579.177,1549.839,,55.625578,37.6063916,"55.625578,37.606392",city_or_region
10,7723882491,"ООО ""ГАРАНТСТРОЙ""",МОСКВА,Малое предприятие,"121609, МОСКВА, ОСЕННЯЯ, 23, 114А/1/9",1524.362,1524.659,1524.659,100.01948356099142,55.7637017,37.4056429,"55.763702,37.405643",address
11,6316270445,"ООО ""ТСГ1""",САМАРСКАЯ,Малое предприятие,"443080, САМАРСКАЯ, САМАРА, МОСКОВСКОЕ, 43, 1012",6930.087,1309.865,1768.805,18.901133564412685,53.2229813,50.191615,"53.222981,50.191615",address
12,9103000552,"ООО ""СИНТЕЗИС ИНГ""",КРЫМ,Малое предприятие,"298600, КРЫМ, ЯЛТА, САДОВАЯ, 31",6804.736,995.717,1029.327,14.632705809600843,44.4963666,34.1687447,"44.496367,34.168745",city_or_region
13,1001155425,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОЙИНВЕСТ КСМ""",КАРЕЛИЯ,Малое предприятие,"185001, КАРЕЛИЯ, ПЕТРОЗАВОДСК, ПЕРВОМАЙСКИЙ, 9",1219.683,919.186,1140.637,75.3626967007001,61.7899921,34.3417075,"61.789992,34.341708",address
14,2129003280,"АО ""СЗ ""ИНКОСТ""",ЧУВАШСКАЯ РЕСПУБЛИКА -,Среднее предприятие,"428022, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, МАРПОСАДСКОЕ, 38",1869.802,893.277,848.682,47.77388194044075,56.0984586,47.268959,"56.098459,47.268959",address
