inn,org_id,year,ebit,intangible_amortization,total_amortization,ebita,ebitda,status,amortization_source,error,short_name,region,address,net_profit
9715426146,11928206,2025,3089335.0,,,,,no_amortization_disclosure,,,"АО ""МР-ЦЕНТР""",МОСКВА,"127015, МОСКВА, НОВОДМИТРОВСКАЯ, 2, 2, 12",2429778.0
7806056530,5088937,2025,2859153.0,,,,,no_amortization_disclosure,,,"ЗАО ""СК ""ТЕМП""",САНКТ-ПЕТЕРБУРГ,"193318, САНКТ-ПЕТЕРБУРГ, БАДАЕВА, 8, 3, 1-Н",2145252.0
4703142302,8938702,2025,2243830.0,,,,,manual_review_scanned_table,,,"ООО ""АРСЕНАЛ ГРУПП""",САНКТ-ПЕТЕРБУРГ,"197376, САНКТ-ПЕТЕРБУРГ, ПЛЕСЕЦКАЯ, 2, 1, 48Н",1692267.0
9710078784,11152520,2025,1549839.0,,,,,no_amortization_disclosure,,,"ООО ""ДИСТРИКТ ДЕВЕЛОПМЕНТ - СПЕЦЗАСТРОЙЩИК""",МОСКВА,"125009, МОСКВА, ТВЕРСКАЯ, 6, 2, 2 ПОМ I КОМ 23",1579177.0
7723882491,8095332,2025,1524659.0,,,,,no_amortization_disclosure,,,"ООО ""ГАРАНТСТРОЙ""",МОСКВА,"121609, МОСКВА, ОСЕННЯЯ, 23, 114А/1/9",1524659.0
2129003280,5353687,2025,848682.0,,,,,no_amortization_disclosure,,,"АО ""СЗ ""ИНКОСТ""",ЧУВАШСКАЯ РЕСПУБЛИКА -,"428022, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, МАРПОСАДСКОЕ, 38",893277.0
7723906368,8487588,2025,1085063.0,,,,,error,,ValueError: invalid literal for int() with base 10: 'активы',"ООО ""ВИК""",МОСКОВСКАЯ,"142000, МОСКОВСКАЯ, ДОМОДЕДОВО, КАШИРСКОЕ ШОССЕ, 17А, 9",844748.0
6658217878,2309970,2025,793811.0,,,,,no_amortization_disclosure,,,"ООО ""ВОЗРОЖДЕНИЕ ЕКАТЕРИНБУРГА""",СВЕРДЛОВСКАЯ,"620014, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ХОХРЯКОВА, 48, ОФИС 254",833103.0
1001010821,70753,2025,18822.0,,1136,,19958.0,partial_success,,,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СК ""ВЕК""",КАРЕЛИЯ,"185001, КАРЕЛИЯ, ПЕТРОЗАВОДСК, ПЕРВОМАЙСКИЙ, 43",714171.0
5027006369,6900709,2025,709323.0,,,,,error,,"ConnectionError: ('Connection aborted.', OSError(49, ""Can't assign requested address""))","""ХСТФ ФОБОС"" ООО",МОСКОВСКАЯ,"140090, МОСКОВСКАЯ, ЛЮБЕРЦЫ, ДЗЕРЖИНСКИЙ, УГРЕШСКАЯ, 30, 700",704973.0
2543028394,7948558,2025,598627.0,,27593538,,28192165.0,partial_success,,,"АО ""РЕНЕССАНС АКТИВ""",ПРИМОРСКИЙ,"690042, ПРИМОРСКИЙ, ВЛАДИВОСТОК, АРХАНГЕЛЬСКАЯ, 10, 6, 3Н",605287.0
7712103721,6665895,2025,628324.0,,6197235,,6825559.0,partial_success,,,"АО ""ТЕПЛОИНДУСТРИЯ""",МОСКВА,"107061, МОСКВА, ХРОМОВА, 20",561157.0
7830001934,6383102,2025,611667.0,,52077,,663744.0,partial_success,,,"ЗАО ""ТРЕСТ 101""",САНКТ-ПЕТЕРБУРГ,"195248, САНКТ-ПЕТЕРБУРГ, УМАНСКИЙ, 71, А, 159",452183.0
5410112902,6020541,2025,441299.0,,,,,no_amortization_disclosure,,,"ООО ""ЭНЕРГОМОНТАЖ""",НОВОСИБИРСКАЯ,"630061, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ТЮЛЕНИНА, 26",451347.0
7736565404,2197947,2025,702793.0,,,,,no_amortization_disclosure,,,"АО ""МНЦЭС-КАПСТРОЙ""",МОСКОВСКАЯ,"141280, МОСКОВСКАЯ, ПУШКИНО, ИВАНТЕЕВКА, ФАБРИЧНЫЙ, 1Д",432799.0
3128001437,1160797,2025,174178.0,,,,,no_amortization_disclosure,,,"АО СЗ ""КМАПЖС""",БЕЛГОРОДСКАЯ,"309511, БЕЛГОРОДСКАЯ, СТАРЫЙ ОСКОЛ, ОЛИМПИЙСКИЙ, 62",420505.0
2801130630,4102235,2025,522631.0,,,,,error,,ValueError: invalid literal for int() with base 10: 'активы',"ООО ""АПИН""",АМУРСКАЯ,"675001, АМУРСКАЯ, БЛАГОВЕЩЕНСК, ПИОНЕРСКАЯ, 66/1",393088.0
2128007123,5357810,2025,468423.0,,,,,parse_error_ocr,,,"АО ""СЗ ""СТРОЙТРЕСТ №3""",ЧУВАШСКАЯ РЕСПУБЛИКА -,"428000, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, ЯРОСЛАВСКАЯ, 76, 312",389007.0
6670115960,415057,2025,525898.0,,,,,no_amortization_disclosure,,,"ООО ""ВМП - ИНЖИНИРИНГ""",СВЕРДЛОВСКАЯ,"620016, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, АМУНДСЕНА, 105, 8",388733.0
7713030755,7131687,2025,524252.0,,,,,error,,ValueError: invalid literal for int() with base 10: '-',"ЗАО ПТФ ""КУЛОН""",МОСКВА,"111402, МОСКВА, 8 МАРТА, 14",379570.0
