inn,short_name,region,address,net_profit_2021,2022,2023,2024,net_profit_2025,growth_pct
0101009232,"ООО ""КРАСНОГВАРДЕЙСКИЙ ДРСУ""",АДЫГЕЯ,"385300, АДЫГЕЯ, КРАСНОГВАРДЕЙСКИЙ, КРАСНОГВАРДЕЙСКОЕ, ПЕРВОМАЙСКАЯ, 115",2061.0,15572.0,20041.0,14461.0,32194.0,1462.0572537603107
0104016125,"ООО ""ВЕРШИНА""",АДЫГЕЯ,"385750, АДЫГЕЯ, МАЙКОПСКИЙ, КАМЕННОМОСТСКИЙ, ЮЖНЫЙ, 17А",1630.0,105473.0,29171.0,-71835.0,31356.0,1823.680981595092
0105008695,"ООО ""СЗ ""НОВОЕ СТРОИТЕЛЬСТВО""",АДЫГЕЯ,"385000, АДЫГЕЯ, МАЙКОП, ТРАНСПОРТНАЯ, 4",3919.0,6885.0,3710.0,122893.0,53199.0,1257.4636386833376
0105008744,"ООО ""ОКСИГЕН""",АДЫГЕЯ,"385000, АДЫГЕЯ, МАЙКОП, ТРАНСПОРТНАЯ, 4",238.0,204.0,1.0,-617.0,0.0,-100.0
0105018340,"ООО ""МОНТАЖ""",АДЫГЕЯ,"385000, АДЫГЕЯ, МАЙКОП, ПОДГОРНАЯ, 405",-103014.0,-93707.0,189.0,75902.0,873.0,100.84745762711864
0105027747,"ООО ""МАРК-СЕРВИС""",АДЫГЕЯ,"385000, АДЫГЕЯ, МАЙКОП, КРАСНООКТЯБРЬСКАЯ, 47",47319.0,12160.0,19534.0,18001.0,12647.0,-73.27289249561487
0105037625,"ООО ""МОНОЛИТ""",АДЫГЕЯ,"385016, АДЫГЕЯ, МАЙКОП, ЗАВОДСКАЯ, 148",9369.0,-1494.0,461.0,8436.0,-1063.0,-111.34592806062547
0105039990,"ООО ""СТРОЙИНВЕСТ""",КРАСНОДАРСКИЙ,"352333, КРАСНОДАРСКИЙ, УСТЬ-ЛАБИНСКИЙ, УСТЬ-ЛАБИНСК, ШАУМЯНА, 1",2464.0,78.0,-595.0,61.0,2006.0,-18.58766233766234
0105043900,"ООО ""РЕМСТРОЙСЕРВИС""",АДЫГЕЯ,"385000, АДЫГЕЯ, МАЙКОП, ТРАНСПОРТНАЯ, 10Ж",5403.0,7333.0,1513.0,0.0,-1748.0,-132.35239681658337
0105055159,"ООО ""СМУ -38""",АДЫГЕЯ,"385018, АДЫГЕЯ, МАЙКОП, ЮННАТОВ, 3Д",238.0,16060.0,19601.0,-3173.0,229.0,-3.7815126050420167
