inn,org_id,short_name,ogrn,organization_status,region,district,city,settlement,address,registry_category,registry_okved,registry_activity,bo_okved,year,revenue,gross_profit,sales_profit,profit_before_tax,net_profit,interest_income,interest_expense,ebit,correction_id,correction_version,date_present,collection_status,latitude,longitude,geocoded_name,geocode_precision,geocode_status,geocode_error
9715426146,11928206,"АО ""МР-ЦЕНТР""",1227700524831,ACTIVE,МОСКВА,,,,"127015, МОСКВА, НОВОДМИТРОВСКАЯ, 2, 2, 12",Малое предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,3870268.0,3816821.0,3141875.0,3260512.0,2429778.0,171177.0,,3089335.0,56413961,0,2026-03-30T18:45:22,success_bfo,,,,,not_found,
7806056530,5088937,"ЗАО ""СК ""ТЕМП""",1037816006348,ACTIVE,САНКТ-ПЕТЕРБУРГ,,,,"193318, САНКТ-ПЕТЕРБУРГ, БАДАЕВА, 8, 3, 1-Н",Среднее предприятие,41.2,41.20 Строительство жилых и нежилых зданий,68.10.21,2025,5744991.0,3481188.0,2875003.0,2860289.0,2145252.0,1136.0,0.0,2859153.0,53620415,0,2026-02-20T00:00:00,success_bfo,,,,,not_found,
4703142302,8938702,"ООО ""АРСЕНАЛ ГРУПП""",1144703003840,ACTIVE,САНКТ-ПЕТЕРБУРГ,,,,"197376, САНКТ-ПЕТЕРБУРГ, ПЛЕСЕЦКАЯ, 2, 1, 48Н",Малое предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,3260590.0,2614240.0,2541442.0,2281308.0,1692267.0,41509.0,4031.0,2243830.0,55281964,0,2026-03-25T09:30:03,success_bfo,,,,,not_found,
9710078784,11152520,"ООО ""ДИСТРИКТ ДЕВЕЛОПМЕНТ - СПЕЦЗАСТРОЙЩИК""",1197746608058,ACTIVE,МОСКВА,,,,"125009, МОСКВА, ТВЕРСКАЯ, 6, 2, 2 ПОМ I КОМ 23",Среднее предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,,,-2661.0,1588059.0,1579177.0,38220.0,0.0,1549839.0,57873873,1,2026-08-20T15:10:12,success_bfo,,,,,not_found,
7723882491,8095332,"ООО ""ГАРАНТСТРОЙ""",1137746804502,ACTIVE,МОСКВА,,,,"121609, МОСКВА, ОСЕННЯЯ, 23, 114А/1/9",Малое предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,1524362.0,1524362.0,1524362.0,1524659.0,1524659.0,,0.0,1524659.0,57400423,0,2026-03-31T22:38:01,success_bfo,,,,,not_found,
9715426146,11928206,"АО ""МР-ЦЕНТР""",1227700524831,ACTIVE,МОСКВА,,,,"127015, МОСКВА, НОВОДМИТРОВСКАЯ, 2, 2, 12",Малое предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,3870268.0,3816821.0,3141875.0,3260512.0,2429778.0,171177.0,,3089335.0,56413961,0,2026-03-30T18:45:22,success_bfo,55.7984126,37.58712,"Большая Новодмитровская улица, 12 с2, Москва, Москва, Россия",address,success,
7806056530,5088937,"ЗАО ""СК ""ТЕМП""",1037816006348,ACTIVE,САНКТ-ПЕТЕРБУРГ,,,,"193318, САНКТ-ПЕТЕРБУРГ, БАДАЕВА, 8, 3, 1-Н",Среднее предприятие,41.2,41.20 Строительство жилых и нежилых зданий,68.10.21,2025,5744991.0,3481188.0,2875003.0,2860289.0,2145252.0,1136.0,0.0,2859153.0,53620415,0,2026-02-20T00:00:00,success_bfo,59.9171293,30.4467655,"улица Бадаева, 8 к3 литБ, Санкт-Петербург, Санкт-Петербург, Россия",address,success,
4703142302,8938702,"ООО ""АРСЕНАЛ ГРУПП""",1144703003840,ACTIVE,САНКТ-ПЕТЕРБУРГ,,,,"197376, САНКТ-ПЕТЕРБУРГ, ПЛЕСЕЦКАЯ, 2, 1, 48Н",Малое предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,3260590.0,2614240.0,2541442.0,2281308.0,1692267.0,41509.0,4031.0,2243830.0,55281964,0,2026-03-25T09:30:03,success_bfo,60.0301543,30.2049501,"Boxberry, Плесецкая улица, 2 с1, Санкт-Петербург, Санкт-Петербург, Россия",address,success,
9710078784,11152520,"ООО ""ДИСТРИКТ ДЕВЕЛОПМЕНТ - СПЕЦЗАСТРОЙЩИК""",1197746608058,ACTIVE,МОСКВА,,,,"125009, МОСКВА, ТВЕРСКАЯ, 6, 2, 2 ПОМ I КОМ 23",Среднее предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,,,-2661.0,1588059.0,1579177.0,38220.0,0.0,1549839.0,57873873,1,2026-08-20T15:10:12,success_bfo,,,,,not_found,
7723882491,8095332,"ООО ""ГАРАНТСТРОЙ""",1137746804502,ACTIVE,МОСКВА,,,,"121609, МОСКВА, ОСЕННЯЯ, 23, 114А/1/9",Малое предприятие,41.2,41.20 Строительство жилых и нежилых зданий,41.20,2025,1524362.0,1524362.0,1524362.0,1524659.0,1524659.0,,0.0,1524659.0,57400423,0,2026-03-31T22:38:01,success_bfo,55.7637017,37.4056429,"Art De Vie, Осенний бульвар, 23, Москва, Москва, Россия",address,success,
